identifiant;nom_etablissement;numero_siret;adresse;code_postal;commune;departement;region;coordonnees_x;coordonnees_y;code_epsg;code_ape;libelle_ape;code_eprtr;libelle_eprtr
0007003919;PANAVI;40305321800018;Zone Actiparc, Allée des Atrébates;62223;ATHIES;PAS-DE-CALAIS;HAUTS-DE-FRANCE;688379.000000;7024553.000000;2154;1071A;Fabrication industrielle de pain et de pâtisserie fraîche;;
0006206021;ENVIRONNEMENT CARRIERE BECK S.A.R.L.;43459669800010;route de Fénétrange;57930;BETTBORN;MOSELLE;GRAND-EST;994698.000000;6863990.000000;2154;0812Z;Exploitation de gravières et sablières, extraction d'argiles et de kaolin;3.(b);Extraction à ciel ouvert et exploitation en carrière lorsque la surperficie du site où sont effectuées des opérations d'extraction est égale à 25 hectares
0006201795;ALTUGLAS INTERNATIONAL;38843217100014;Route de Carling;57500;SAINT-AVOLD;MOSELLE;GRAND-EST;971021.000000;6899676.000000;2154;2016Z;Fabrication de matières plastiques de base;4.(a).(viii);matières plastiques de base (polymères, fibres synthétiques, fibres à base de cellulose)
0006301009;ASSA ABLOY France SAS;41214090700087;25 rue Michel Couet, BP 47;49160;LONGUE-JUMELLES;MAINE-ET-LOIRE;PAYS-DE-LA-LOIRE;464773.000000;6703202.000000;2154;2572Z;Fabrication de serrures et de ferrures;2.(f);Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
0006412238;ISDI SITA SUD;71262071500094;Lieu dit Les Garrigues;84210;PERNES-LES-FONTAINES;VAUCLUSE;PROVENCE-ALPES-COTE-D'AZUR;867039.000000;6327099.000000;2154;3811Z;Collecte des déchets non dangereux;5.(d);Décharges, à l'exception des décharges de déchets inertes et des décharges qui ont été définitivement fermées avant le 16 juillet 2001 ou dont la phase de gestion après désaffection requise par les autorités compétentes conformément à l'article 13 de la directive 1999/31/CE du Conseil du 26 avril 1999 concernant la mise en décharge des déchets s'est achevée recevant 10 tonnes par jour ou d'une capacité totale de 25 000 tonnes
0007201774;THEBAULT SIB;30032616200017;Rue de Saunière;79190;SAUZE-VAUSSAIS;DEUX-SEVRES;NOUVELLE-AQUITAINE;476562.000000;6562869.000000;2154;1621Z;Fabrication de placage et de panneaux de bois;;
0006602147;SIKA FRANCE SA;57223241100012;ZAC du TEC, Allée Jean Mermoz;30320;MARGUERITTES;GARD;OCCITANIE;815574.000000;6308544.000000;2154;2059Z;Fabrication d'autres produits chimiques n.c.a.;;
0010400059;BALTHAZARD ET COTTE- CARRIERES ET CHAUX;33127830900033;La Gare;38210;POLIENAS;ISERE;AUVERGNE-RHONE-ALPES;894031.000000;6465138.000000;2154;2352Z;Fabrication de chaux et plâtre;3.(c).(iii);de clinker (ciment) ou de chaux dans d'autres types de fours d'une capacité de production de 50 tonnes par jour
0005202483;AFM RECYCLAGE;38348263500208;Zone artisanale La Négresse, 14 rue du Chapelet;64200;BIARRITZ;PYRENEES-ATLANTIQUES;NOUVELLE-AQUITAINE;332353.000000;6273304.000000;2154;3831Z;Démantèlement d'épaves;;
0005401118;SUEZ RV CENTRE EST;34348850800650;Route du Bois Morey, #2807;71210;TORCY;SAONE-ET-LOIRE;BOURGOGNE-FRANCHE-COMTE;810158.000000;6632771.000000;2154;3821Z;Traitement et élimination des déchets non dangereux;5.(d);Décharges, à l'exception des décharges de déchets inertes et des décharges qui ont été définitivement fermées avant le 16 juillet 2001 ou dont la phase de gestion après désaffection requise par les autorités compétentes conformément à l'article 13 de la directive 1999/31/CE du Conseil du 26 avril 1999 concernant la mise en décharge des déchets s'est achevée recevant 10 tonnes par jour ou d'une capacité totale de 25 000 tonnes
