identifiant;nom_etablissement;annee_rejet;rejet_raccorde_m3_par_an;rejet_isole_m3_par_an
0009075905;STEP - Lille-C.U.-Marquette;2020;;47227280
0006104340;ARC FUSED ALUMINA;2020;;322561
0005302845;ATOS;2020;;1068
0006201497;ArcelorMittal France - Crassier de Marspich;2020;;171699
0053800656;BIOMERIEUX;2020;5543;
0006802215;DANONE;2020;306184;
0005401208;PRYSMIAN;2020;5696;91813
0007000904;HEINZ FRANCE ex-BENEDICTA;2020;68326;
0007000633;VTFR Tuberie d'Aulnoye;2020;0;130868
0006900242;ARIANESPACE;2020;;3103
0010002269;MOY PARK BEEF ORLEANS (ex MC KEY);2020;38118;
0006107515;CAP'FRUIT;2020;18105;
0009069923;INSTITUT LAUE LANGEVIN;2020;26963;10359938
0006302146;SAICA PACK FRANCE;2020;6237;
0005703071;ARS-AGENCE RENOVATION DES SOLS(Tecsom);2020;12539;
0006600432;SANOFI-CHIMIE;2020;;457689
0010000951;CGES (Cie Générale d'Eau de Source);2020;6646;
0005501866;GREENYARD FROZEN FRANCE (ex CGS);2020;0;0
0006112084;NOVACYL;2020;25599;1603595
0007001084;SICCANOR;2020;3610;135000
0006103589;MAT;2020;;146356
0006504407;PAULSTRA SNC -Dot Vibrachoc;2020;328;0
0007000905;XPO TANK CLEANING NORD FRANCE;2020;;10733
0006806903;SA COVED;2020;3373;
0007404234;KALHYGE 2 (ex-RLD 2);2020;6577;
0005401034;METAL PROTECTION;2020;;6000
0010002231;SOCIETE JACOBI CARBONS FRANCE;2020;;4910
0006600640;SNCF MOBILITES - Technicentre LR;2020;609;
0006702299;TRANSPORTS KLEIN;2020;54683;
0007000492;Cartonneries de Gondardenne;2020;;225369
0010400164;KERRY RAVIFRUIT;2020;;83758
0006400053;CEGELEC SUD-EST;2020;1777;
0006000348;PANNEAUX DE CORREZE;2020;;18560
0006700585;PLASTIC OMNIUM AUTO INERGY FRANCE;2020;78;
0005100395;CEREAL PARTNERS Frances;2020;;136579
0005200118;INTERSPRAY S.A.S;2020;9844;
0006400210;COCA COLA MIDI SAS;2020;46949;
0006502612;SIETREM (exploitation Novergie IdF);2020;;5534
0006501584;THIMEAU MAGIC RAMBO-ELIS;2020;41171;
0006600812;O-I FRANCE SAS;2020;;54854
0006506542;SPVM;2020;515;6979
0009078601;Unités de traitement des eaux usées;2020;;7503250
0006103602;MALERBA n° 2/3/5/7;2020;22;
0009071303;SAUR;2020;3561704;
0005303520;SOCIETE DES MATERIAUX CAENNAIS;2020;;84566
0005101240;HERMES BOISSONS (ex TROPICANA);2020;;58251
0006103860;SPICER FRANCE;2020;3406;
0006410873;KEM ONE;2020;148925;
0005803187;TEREOS STARCH & SWEETENERS LBN;2020;;20685660
0006300884;MARTIN TECHNOLOGIES;2020;724;3620
0005101339;UNILEVER FRANCE HPC Industries;2020;;80221
0058200060;CODEVIA SAS site découpe de CAUSSADE;2020;7659;
0056700494;STOEFFLER SAS;2020;59270;
0005202659;CANDIA;2020;;586540
0006802267;PIERRE FABRE MEDICAMENT;2020;26834;
