identifiant;nom_etablissement;annee;prelevements_eaux_souterraines;prelevements_eaux_surface;prelevements_reseau_distribution;prelevements_mer
0006406426;SUEZ RV Istres;2019;8557;;;
0055602633;CELTYS;2019;127867;;316;
0005400082;RMG;2019;25246;;;
0007408607;ELIS PANTIN;2019;158167;;15635;
0007001555;CRUSTA C (SA);2019;;;75351;
0007000742;DAUDRUY VAN CAUWENBERGHE et FILS;2019;;208858;211959;
0006702209;SIVOM agglo mulhousienne Sausheim - UIOM;2019;216712;;;
0055602485;BCF LIFE SCIENCES;2019;226136;;9170;
0055614826;SCEA LE PONT CAR;2019;16475;;;
0006102771;STEF LOGISTIQUE MEDITERRANEE;2019;11500;;;
0006102436;IMERYS ALUMINATES EX KERNEOS;2019;;11021;;
0005701330;3P - Produits Plastiques Performants;2019;;;113928;
0010000685;HUTCHINSON;2019;13797;;;
0052904340;SCEA MORVAN;2019;10420;;;
0006802548;FIBRE EXCELLENCE SAINT-GAUDENS;2019;;19461452;;
0006700349;MICHEL Wittelsheim (carrière);2019;366053;;;
0052901025;EARL DE KERILLY;2019;16400;;;
0052903464;SAUPIQUET;2019;;;116080;
0006300906;LAITERIE DU VAL D'ANCENIS;2019;;;1025903;
0005101901;GOODYEAR DUNLOP TIRES Amiens SUD;2019;363760;0;10642;0
0006104565;SYND MIXTE DU LAC D ANNECY;2019;;;69596;
0053800603;CANDIA/YOPLAIT;2019;4231223;;;
0052903463;MERALLIANCE ARMORIC;2019;;;115202;
0006103781;TEINTURERIES DE LA TURDINE-RTE DE THIZY;2019;;58890;13493;
0005301493;COMPAGNIE DES FROMAGES & RICHESMONTS SCA;2019;;;309597;
0006104679;TEFAL SA;2019;;;298904;
0005701515;TEREOS FRANCE;2019;;340717;13827;
0006105222;ELKEM SILICONES FRANCE;2019;11846025;;;
0057100136;LDC BOURGOGNE;2019;;;246760;
0005900985;PROVALT JURA SNC;2019;20015;;55573;
0007201655;VERALLIA - SAINT GOBAIN EMBALLAGE;2019;322926;;91366;
0005101048;Société LAITIERE DE CLERMONT;2019;213670;;842;
0052903307;EARL BODONAP;2019;12157;;;
0055600517;SCEA DE CHAUDEVILLE;2019;14125;;;
0057900712;SOCIETE FROMAGERE DE RIBLAIRE;2019;;;338753;
0058502426;SOCOPA VIANDES;2019;134691;;594;
0006103048;RHODIA OPERATIONS;2019;1710090;;1564;
0050100743;GAEC DE L'ORME;2019;11000;;;
0006601371;LAFARGEHOLCIM GRANULATS (Carr BAIXAS);2019;26380;;;
0052902810;SARL René COLIN;2019;27659;;;
0006104769;SGL CARBON  SA;2019;;2963762;;
0005900806;KOHLER SAS;2019;21576;;362;
0006301086;EURIAL FOOD SERVICE ET INDUSTRY;2019;;360912;26925;
0009073101;Usine de dépollution des eaux Ginestous-Garonne (ASTEO);2019;;;477411;
0010400075;AIR LIQUIDE HYDROGENE;2019;139432;;;
0006702299;TRANSPORTS KLEIN;2019;;;66067;
0010000305;NOVO NORDISK PRODUCTION SAS;2019;;;175893;
0005401241;YOPLAIT PRODUCTION FRANCE - NOBLEVAL;2019;592982;;;
0006200004;DAUM;2019;;17490;;
0006803945;MAJ ELIS;2019;;;133254;
0054900308;MAUSSIONNAIE (SCEA DE LA);2019;14500;;;
0006200339;Glanzstoff Longlaville ( EX DURAFIBER);2019;;;136289;
0006103636;BAYER SAS;2019;229486;;5211;
0055300959;GAEC TERTRE (DU);2019;8000;;;
0005800297;TOTAL RAFFINAGE FRANCE;2019;;9148287;115921;17934176
0052904384;CONSERVERIE CHANCERELLE (usine Sardine);2019;;;100123;
0006600055;MAJ ELIS;2019;51946;;23829;
0005501776;GUERBET;2019;;;134645;
0007000740;DECOSTER-CAULLIEZ SAS;2019;;118729;813;
0007203112;LES LAVANDIERES (Enseigne ELIS);2019;;;65939;
0006400001;ALTEO GARDANNE;2019;25650;2785053;60000;
0005501327;GLATFELTER SCAER SAS;2019;;808482;15171;
0007002964;BORALEX Blendecques SAS;2019;67769;;;
0006400990;KEM ONE France;2019;;;2611063;
0006503800;MAJ;2019;172630;;2710;
